"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"39","Ohio","39141","Ross","2021","10.5%","","(9.4% - 11.9%)","9.4%","11.9%",
"39","Ohio","39143","Sandusky","2018","9.7%","","(9.2% - 10.3%)","9.2%","10.3%",
"39","Ohio","39143","Sandusky","2019","9.7%","","(9.3% - 10.3%)","9.3%","10.3%",
"39","Ohio","39143","Sandusky","2020","10.3%","","(9.9% - 10.9%)","9.9%","10.9%",
"39","Ohio","39143","Sandusky","2021","10.3%","","(9.1% - 11.6%)","9.1%","11.6%",
"39","Ohio","39145","Scioto","2018","10.9%","","(10.2% - 11.6%)","10.2%","11.6%",
"39","Ohio","39145","Scioto","2019","11.3%","","(10.6% - 12.2%)","10.6%","12.2%",
"39","Ohio","39145","Scioto","2020","11.5%","","(10.8% - 12.2%)","10.8%","12.2%",
"39","Ohio","39145","Scioto","2021","11.4%","","(10.0% - 12.9%)","10.0%","12.9%",
"39","Ohio","39147","Seneca","2018","9.5%","","(9.0% - 10.1%)","9.0%","10.1%",
"39","Ohio","39147","Seneca","2019","10.1%","","(9.6% - 10.7%)","9.6%","10.7%",
"39","Ohio","39147","Seneca","2020","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39147","Seneca","2021","10.1%","","(8.9% - 11.4%)","8.9%","11.4%",
"39","Ohio","39149","Shelby","2018","9.6%","","(9.0% - 10.3%)","9.0%","10.3%",
"39","Ohio","39149","Shelby","2019","10.0%","","(9.4% - 10.6%)","9.4%","10.6%",
"39","Ohio","39149","Shelby","2020","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39149","Shelby","2021","10.4%","","(9.2% - 11.9%)","9.2%","11.9%",
"39","Ohio","39151","Stark","2018","9.8%","","(9.3% - 10.4%)","9.3%","10.4%",
"39","Ohio","39151","Stark","2019","10.8%","","(10.2% - 11.4%)","10.2%","11.4%",
"39","Ohio","39151","Stark","2020","10.1%","","(9.6% - 10.7%)","9.6%","10.7%",
"39","Ohio","39151","Stark","2021","10.5%","","(9.3% - 11.8%)","9.3%","11.8%",
"39","Ohio","39153","Summit","2018","9.5%","","(9.0% - 10.0%)","9.0%","10.0%",
"39","Ohio","39153","Summit","2019","10.4%","","(9.9% - 11.0%)","9.9%","11.0%",
"39","Ohio","39153","Summit","2020","10.4%","","(10.0% - 11.0%)","10.0%","11.0%",
"39","Ohio","39153","Summit","2021","10.5%","","(9.4% - 11.8%)","9.4%","11.8%",
"39","Ohio","39155","Trumbull","2018","10.2%","","(9.6% - 10.9%)","9.6%","10.9%",
"39","Ohio","39155","Trumbull","2019","10.6%","","(10.0% - 11.3%)","10.0%","11.3%",
"39","Ohio","39155","Trumbull","2020","11.0%","","(10.4% - 11.6%)","10.4%","11.6%",
"39","Ohio","39155","Trumbull","2021","10.9%","","(9.6% - 12.3%)","9.6%","12.3%",
"39","Ohio","39157","Tuscarawas","2018","9.7%","","(9.1% - 10.5%)","9.1%","10.5%",
"39","Ohio","39157","Tuscarawas","2019","10.6%","","(10.0% - 11.4%)","10.0%","11.4%",
"39","Ohio","39157","Tuscarawas","2020","10.7%","","(10.1% - 11.3%)","10.1%","11.3%",
"39","Ohio","39157","Tuscarawas","2021","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"39","Ohio","39159","Union","2018","9.1%","","(8.6% - 9.8%)","8.6%","9.8%",
"39","Ohio","39159","Union","2019","10.0%","","(9.5% - 10.7%)","9.5%","10.7%",
"39","Ohio","39159","Union","2020","9.4%","","(9.0% - 10.0%)","9.0%","10.0%",
"39","Ohio","39159","Union","2021","9.6%","","(8.4% - 10.8%)","8.4%","10.8%",
"39","Ohio","39161","Van Wert","2018","9.6%","","(9.1% - 10.3%)","9.1%","10.3%",
"39","Ohio","39161","Van Wert","2019","10.1%","","(9.5% - 10.7%)","9.5%","10.7%",
"39","Ohio","39161","Van Wert","2020","10.0%","","(9.5% - 10.6%)","9.5%","10.6%",
"39","Ohio","39161","Van Wert","2021","10.4%","","(9.2% - 11.8%)","9.2%","11.8%",
"39","Ohio","39163","Vinton","2018","10.7%","","(10.0% - 11.5%)","10.0%","11.5%",
"39","Ohio","39163","Vinton","2019","11.2%","","(10.4% - 12.0%)","10.4%","12.0%",
"39","Ohio","39163","Vinton","2020","11.3%","","(10.6% - 12.1%)","10.6%","12.1%",
"39","Ohio","39163","Vinton","2021","11.3%","","(9.9% - 12.9%)","9.9%","12.9%",
"39","Ohio","39165","Warren","2018","8.6%","","(8.1% - 9.2%)","8.1%","9.2%",
"39","Ohio","39165","Warren","2019","9.1%","","(8.6% - 9.7%)","8.6%","9.7%",
"39","Ohio","39165","Warren","2020","9.4%","","(8.9% - 9.9%)","8.9%","9.9%",
"39","Ohio","39165","Warren","2021","9.3%","","(8.2% - 10.6%)","8.2%","10.6%",
"39","Ohio","39167","Washington","2018","9.6%","","(9.0% - 10.2%)","9.0%","10.2%",
"39","Ohio","39167","Washington","2019","10.6%","","(10.0% - 11.3%)","10.0%","11.3%",
"39","Ohio","39167","Washington","2020","10.3%","","(9.7% - 10.9%)","9.7%","10.9%",
"39","Ohio","39167","Washington","2021","10.5%","","(9.3% - 11.8%)","9.3%","11.8%",
"39","Ohio","39169","Wayne","2018","9.8%","","(9.2% - 10.6%)","9.2%","10.6%",
"39","Ohio","39169","Wayne","2019","10.0%","","(9.4% - 10.7%)","9.4%","10.7%",
"39","Ohio","39169","Wayne","2020","10.8%","","(10.1% - 11.5%)","10.1%","11.5%",
"39","Ohio","39169","Wayne","2021","10.5%","","(9.1% - 11.9%)","9.1%","11.9%",
"39","Ohio","39171","Williams","2018","9.7%","","(9.1% - 10.3%)","9.1%","10.3%",
"39","Ohio","39171","Williams","2019","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39171","Williams","2020","10.2%","","(9.7% - 10.8%)","9.7%","10.8%",
"39","Ohio","39171","Williams","2021","10.3%","","(9.1% - 11.7%)","9.1%","11.7%",
"39","Ohio","39173","Wood","2018","9.4%","","(8.9% - 10.0%)","8.9%","10.0%",
"39","Ohio","39173","Wood","2019","9.8%","","(9.3% - 10.4%)","9.3%","10.4%",
"39","Ohio","39173","Wood","2020","10.0%","","(9.5% - 10.5%)","9.5%","10.5%",
"39","Ohio","39173","Wood","2021","10.2%","","(8.9% - 11.5%)","8.9%","11.5%",
"39","Ohio","39175","Wyandot","2018","9.7%","","(9.1% - 10.3%)","9.1%","10.3%",
"39","Ohio","39175","Wyandot","2019","10.2%","","(9.6% - 10.8%)","9.6%","10.8%",
"39","Ohio","39175","Wyandot","2020","10.2%","","(9.6% - 10.8%)","9.6%","10.8%",
"39","Ohio","39175","Wyandot","2021","10.1%","","(8.8% - 11.4%)","8.8%","11.4%",
